"lang"
{
	"Language"	"schinese"
	"Tokens"
	{
		"game_mode_15"	"东方Dots"
		"addon_game_name"	"东方Dots"
		// "DOTA_Basics"							"ABILITIES"
		// "DOTA_Upgrades"							"ITEMS"
		// "DOTA_Shop_Category_Basics"				"ABILITIES"
		// "DOTA_Shop_Category_Upgrades"			"ITEMS"
		"DOTA_GoodGuys"	"博丽神社"
		"DOTA_BadGuys"	"守矢神社"
		"DOTA_Winner_GoodGuys"	"博丽胜利"
		"DOTA_Winner_BadGuys"	"守矢胜利"
		"DOTA_Starting_Team_Radiant"	"博丽神社"
		"DOTA_Starting_Team_Dire"	"守矢神社"
		"DOTA_GoodGuysCaps"	"博丽神社"
		"DOTA_BadGuysCaps"	"守矢神社"
		"DOTA_Chat_CourierRespawnedGood"	"博丽神社的信使已重生。"
		"DOTA_Chat_CourierRespawnedBad"	"守矢神社的信使已重生。"
		"npc_dota_fort"	"神社"
		"npc_dota_roshan"	"巨大上海"
		"DOTA_Chat_TowerKilledGood"	"ℓ一座防御塔被守矢神社护卫兵摧毁了！"
		"DOTA_Chat_TowerKilledBad"	"ℓ一座防御塔被博丽神社护卫兵摧毁了！"
		"DOTA_Chat_KilledRoshanGood"	"巨大上海被博丽神社击败了！博丽神社的每位少女获得%s1金钱！"
		"DOTA_Chat_KilledRoshanBad"	"巨大上海被守矢神社击败了！守矢神社的每位少女获得%s1金钱！"
		"DOTA_Chat_SuperCreepsGood"	"守矢神社的所有兵营均被摧毁。现在博丽神社出动超级士兵！"
		"DOTA_Chat_SuperCreepsBad"	"博丽神社的所有兵营均被摧毁。现在守矢神社出动超级士兵！"
		"DOTA_Chat_CourierLostGood"	"博丽神社的信使被杀死了。"
		"DOTA_Chat_CourierLostBad"	"守矢神社的信使被杀死了。"
		"DOTA_Chat_GlyphUsedGood"	"博丽神社军团的建筑物已被加固。"
		"DOTA_Chat_GlyphUsedBad"	"守矢神社军团的建筑物已被加固。"
		"DOTA_MiniKillcam_KilledByGood"	"击杀者\n博丽神社！"
		"DOTA_MiniKillcam_KilledByBad"	"击杀者\n守矢神社！"
		"DOTA_Hero_Selection_Team_Good"	"博丽神社"
		"DOTA_Hero_Selection_Team_Bad"	"守矢神社"
		"dota_match_history_Winner_GoodGuys"	"胜方：博丽神社"
		"dota_match_history_Winner_BadGuys"	"胜方：守矢神社"
		"npc_dota_goodguys_fort"	"博丽神社"
		"npc_dota_badguys_fort"	"守矢神社"
		"npc_thd_badguys_super_siege"	"超级兵"
		"npc_thd_goodguys_super_siege"	"超级兵"
		// ******************** ABILITY MODIFIERS ********************
		"DOTA_Tooltip_modifier_channel_start"	"Channel Start"
		"DOTA_Tooltip_modifier_channel_start_Description"	""

		"DOTA_Tooltip_common_thdots_power_str_buff"				"能量提升"
		"DOTA_Tooltip_common_thdots_power_str_buff_Description"	"每拾取一个P点提升一点力量，最大上限30，死亡后掉落三分二"
		"DOTA_Tooltip_common_thdots_power_agi_buff"				"能量提升"
		"DOTA_Tooltip_common_thdots_power_agi_buff_Description"	"每拾取一个P点提升一点敏捷，最大上限30，死亡后掉落三分二"
		"DOTA_Tooltip_common_thdots_power_int_buff"				"能量提升"
		"DOTA_Tooltip_common_thdots_power_int_buff_Description"	"每拾取一个P点提升一点智力，最大上限30，死亡后掉落三分二"
		"DOTA_Tooltip_modifier_thdots_unit_anti_bd"	"无法通过bd检验"
		"DOTA_Tooltip_modifier_system_disarmed"	"System Disarmed"
		"DOTA_Tooltip_modifier_system_disarmed_Description"	""
		"DOTA_Tooltip_modifier_system_invulnerable"	"System Invulnerable"
		"DOTA_Tooltip_modifier_system_invulnerable_Description"	""
		"DOTA_Tooltip_modifier_system_nodamage"	"System Nodamage"
		"DOTA_Tooltip_modifier_system_nodamage_Description"	""
		"DOTA_Tooltip_modifier_stunsystem_pause"	"Stunsystem Pause"
		"DOTA_Tooltip_modifier_stunsystem_pause_Description"	""
		"DOTA_Tooltip_modifier_sliencesystem_silence"	"Sliencesystem Silence"
		"DOTA_Tooltip_modifier_sliencesystem_silence_Description"	""
		"DOTA_Tooltip_modifier_system_collision"	"System Collision"
		"DOTA_Tooltip_modifier_system_collision_Description"	""
		"DOTA_Tooltip_modifier_system_magicImmune"	"System MagicImmune"
		"DOTA_Tooltip_modifier_system_magicImmune_Description"	""
		"DOTA_Tooltip_modifier_system_criticalstrike"	"System Criticalstrike"
		"DOTA_Tooltip_modifier_system_criticalstrike_Description"	""
		"DOTA_Tooltip_modifier_momiji01_invisible"	"Momiji01 Invisible"
		"DOTA_Tooltip_modifier_momiji01_invisible_Description"	""
		"DOTA_Tooltip_modifier_system_antiinvisible"	"System Antiinvisible"
		"DOTA_Tooltip_modifier_system_antiinvisible_Description"	""
		"DOTA_Tooltip_modifier_dota2x_reimu02_think_interval"	"灵符「梦想封印」"
		"DOTA_Tooltip_modifier_dota2x_reimu02_think_interval_Description"	"发射灵弹追击敌人。"
		"DOTA_Tooltip_modifier_ability_dota2x_reimu03_effect"	"梦符「二重结界」"
		"DOTA_Tooltip_modifier_ability_dota2x_reimu03_effect_Description"	"灵梦友军免疫物理伤害，灵梦敌方被沉默。"
		"DOTA_Tooltip_modifier_ability_dota2x_reimu03_armor"	"梦符「二重结界」"
		"DOTA_Tooltip_modifier_ability_dota2x_reimu03_armor_Description"	"物理免疫"
		"DOTA_Tooltip_modifier_ability_dota2x_reimu03_slow"	"梦符「二重结界」"
		"DOTA_Tooltip_modifier_ability_dota2x_reimu03_slow_Description"	"万宝槌效果：减速"
		"DOTA_Tooltip_modifier_dota2x_reimu04_think_interval"	"神技「八方鬼缚阵」"
		"DOTA_Tooltip_modifier_dota2x_reimu04_think_interval_Description"	"结界内有友军魔法免疫，敌方每0.4秒受到灵击。"
		"DOTA_Tooltip_modifier_dota2x_reimu04_magic_immune"	"神技「八方鬼缚阵」"
		"DOTA_Tooltip_modifier_dota2x_reimu04_magic_immune_Description"	"对魔法技能免疫。"
		"DOTA_Tooltip_modifier_thdots_reimu04_root"	"神技「八方鬼缚阵」"
		"DOTA_Tooltip_modifier_thdots_reimu04_root_Description"	"被缠绕"
		"DOTA_Tooltip_modifier_thdots_marisa01_think_interval"	"彗星「炽热之星」"
		"DOTA_Tooltip_modifier_thdots_marisa01_think_interval_Description"	"高速向目标位置冲刺。"
		"DOTA_Tooltip_modifier_thdots_marisa01_effect"	"彗星「炽热之星」"
		"DOTA_Tooltip_modifier_thdots_marisa01_effect_Description"	"冲刺过程中造成伤害。"
		"DOTA_Tooltip_modifier_thdots_marisa02_think_interval"	"魔符「星尘狂欢」"
		"DOTA_Tooltip_modifier_thdots_marisa02_think_interval_Description"	"向前方造成伤害。"
		"DOTA_Tooltip_modifier_thdots_marisa03_think_interval"	"天仪「天球仪中的太阳系」"
		"DOTA_Tooltip_modifier_thdots_marisa03_think_interval_Description"	"召唤四个自动攻击的天球仪。"
		"DOTA_Tooltip_modifier_thdots_marisa04_think_interval"	"魔炮「Master Spark」"
		"DOTA_Tooltip_modifier_thdots_marisa04_think_interval_Description"	""
		"DOTA_Tooltip_modifier_marisa_wanbaochui_buff"	"「万宝槌加成」"
		"DOTA_Tooltip_modifier_marisa_wanbaochui_buff_Description"	"根据当前蓝量百分比获得技能增强，每1%%蓝量获得0.35%%技能增强"
		"DOTA_Tooltip_modifier_thdots_youmuEx_start"		"「炯眼剑」"
		"DOTA_Tooltip_modifier_thdots_youmu01_think_interval"	"剑技「樱花闪闪」"
		"DOTA_Tooltip_modifier_thdots_youmu01_think_interval_Description"	"超高速向目标位置冲刺。"
		"DOTA_Tooltip_passive_youmu02_attack"	"断迷剑「迷津慈航斩」"
		"DOTA_Tooltip_passive_youmu02_attack_Description"	"妖梦的攻击能直斩灵魂，减少被攻击者的护甲。"
		"DOTA_Tooltip_modifier_youmu02_armor_decrease"	"灵魂受伤"
		"DOTA_Tooltip_modifier_youmu02_armor_decrease_Description"	"你的护甲因为灵魂被斩而减少。"
		"DOTA_Tooltip_modifier_youmu02_armor_decrease_unit"	"灵魂受伤(来自半灵斩击)"
		"DOTA_Tooltip_modifier_youmu02_armor_decrease_unit_Description"	"你的护甲因为灵魂被斩而减少。(半灵效果减半)"
		"DOTA_Tooltip_modifier_thdots_youmu03_spawn"	"魂魄「幽明求闻持聪明之法」"
		"DOTA_Tooltip_modifier_thdots_youmu03_spawn_Description"	"灵魂实体化中。"
		"DOTA_Tooltip_modifier_thdots_youmu04_states"	"未来永劫斩"
		"DOTA_Tooltip_modifier_thdots_youmu04_states_Description"	"高速位移斩击目标中"
		"DOTA_Tooltip_modifier_thdots_youmu04_think_interval"	"人鬼「未来永劫斩」"
